Read,Owned,Published,Title,Type,Available In,Hardcover,Paperback,Ebook,Audiobook,Movie,Miniseries
,,1979-08-01,"=HYPERLINK(""https://www.stephenking.com/works/novel/dead-zone.html"", ""The Dead Zone"")",Novel,"=HYPERLINK(""https://www.stephenking.com/works/movie/dead-zone.html"", ""The Dead Zone(Movie)"")",✓,✓,,,✓,
,,1979-12-01,"=HYPERLINK(""https://www.stephenking.com/works/anthology/21st-pan-book-of-horror-stories.html"", ""The 21st Pan Book of Horror Stories"")",Anthology,"=HYPERLINK(""https://www.stephenking.com/works/movie/mangler.html"", ""The Mangler(Movie)"")",,✓,,,✓,
,,1979-12-01,"=HYPERLINK(""https://www.stephenking.com/works/anthology/new-tales-of-the-cthulhu-mythos.html"", ""New Tales of the Cthulhu Mythos"")",Anthology,,,✓,,,,
,,1979-12-01,"=HYPERLINK(""https://www.stephenking.com/works/anthology/tales-of-the-dead.html"", ""Tales of the Dead"")",Anthology,,✓,,,,,
,,1979-12-01,"=HYPERLINK(""https://www.stephenking.com/works/limited/firestarter.html"", ""Firestarter"")",Limited Edition,,✓,✓,,✓,✓,
,,1980-08-01,"=HYPERLINK(""https://www.stephenking.com/works/anthology/dark-forces.html"", ""Dark Forces"")",Anthology,,✓,✓,,,,
,,1980-08-29,"=HYPERLINK(""https://www.stephenking.com/works/novella/mist.html"", ""The Mist"")",Novella,"=HYPERLINK(""https://www.stephenking.com/works/movie/mist.html"", ""The Mist(Movie)"")",,✓,,✓,✓,
,,1980-12-01,"=HYPERLINK(""https://www.stephenking.com/works/anthology/arbor-house-treasury-of-horror-the-supernatural.html"", ""Arbor House Treasury of Horror the Supernatural"")",Anthology,,,✓,,,,
,,1980-12-01,"=HYPERLINK(""https://www.stephenking.com/works/anthology/fantasy-annual-iv.html"", ""Fantasy Annual IV"")",Anthology,,✓,✓,,,,
,,1980-12-01,"=HYPERLINK(""https://www.stephenking.com/works/anthology/shadows.html"", ""Shadows"")",Anthology,,,✓,,,,
,,1980-12-01,"=HYPERLINK(""https://www.stephenking.com/works/anthology/years-best-horror-stories-series-ix.html"", ""Year's Best Horror Stories - Series IX"")",Anthology,,,✓,,,,
,,1980-12-01,"=HYPERLINK(""https://www.stephenking.com/works/limited/danse-macabre.html"", ""Danse Macabre"")",Limited Edition,,✓,✓,,✓,✓,
,,1980-12-01,"=HYPERLINK(""https://www.stephenking.com/works/novel/roadwork.html"", ""Roadwork"")",Bachman Novel,"=HYPERLINK(""https://www.stephenking.com/works/audiobook/roadwork.html"", ""Roadwork(Audiobook)"")",,✓,,✓,,
,,1980-12-01,"=HYPERLINK(""https://www.stephenking.com/works/short/crate.html"", ""The Crate"")",Short Story,"=HYPERLINK(""https://www.stephenking.com/works/movie/creepshow.html"", ""Creepshow(Movie)"")",,,,,✓,
,,1981-04-01,"=HYPERLINK(""https://www.stephenking.com/works/anthology/fantasy-annual-iii.html"", ""Fantasy Annual III"")",Anthology,,,✓,,,,
,,1981-07-01,"=HYPERLINK(""https://www.stephenking.com/works/anthology/modern-masters-of-horror.html"", ""Modern Masters of Horror"")",Anthology,,✓,✓,,,,
,,1981-08-01,"=HYPERLINK(""https://www.stephenking.com/works/anthology/horrors.html"", ""Horrors"")",Anthology,,,✓,,,,
,,1981-09-01,"=HYPERLINK(""https://www.stephenking.com/works/limited/cujo.html"", ""Cujo"")",Limited Edition,,✓,✓,,✓,✓,
,,1981-10-01,"=HYPERLINK(""https://www.stephenking.com/works/anthology/a-fantasy-reader-the-seventh-world-fantasy-convention-book.html"", ""A Fantasy Reader The Seventh World Fantasy Convention Book"")",Anthology,,✓,,,,,
,,1981-10-01,"=HYPERLINK(""https://www.stephenking.com/works/anthology/arbor-house-necropolis.html"", ""Arbor House Necropolis"")",Anthology,,✓,,,,,
,,1981-12-01,"=HYPERLINK(""https://www.stephenking.com/works/anthology/arbor-house-celebrity-book-of-horror-stories.html"", ""Arbor House Celebrity Book of Horror Stories"")",Anthology,,,,,,,
,,1981-12-01,"=HYPERLINK(""https://www.stephenking.com/works/anthology/death.html"", ""Death"")",Anthology,,,,,,,
,,1981-12-01,"=HYPERLINK(""https://www.stephenking.com/works/anthology/do-it-yourself-bestseller-a-workbook.html"", ""The Do-It-Yourself Bestseller A Workbook"")",Anthology,,,✓,,,,
,,1981-12-01,"=HYPERLINK(""https://www.stephenking.com/works/anthology/terrors.html"", ""Terrors"")",Anthology,,,✓,,,,
,,1981-12-01,"=HYPERLINK(""https://www.stephenking.com/works/limited/dark-tower-the-gunslinger.html"", ""The Dark Tower The Gunslinger"")",Limited Edition,,✓,✓,,,,
