Read,Owned,Published,Title,Type,Available In,Hardcover,Paperback,Ebook,Audiobook,Movie,Miniseries
,,1990-12-01,"=HYPERLINK(""https://www.stephenking.com/works/short/revelations-of-becka-paulson.html"", ""The Revelations of 'Becka Paulson"")",Short Story,,,,,,,
,,1991-10-01,"=HYPERLINK(""https://www.stephenking.com/works/novel/needful-things.html"", ""Needful Things"")",Novel,"=HYPERLINK(""https://www.stephenking.com/works/movie/needful-things.html"", ""Needful Things(Movie)"")",✓,✓,,✓,✓,
,,1992-05-01,"=HYPERLINK(""https://www.stephenking.com/works/novel/geralds-game.html"", ""Gerald's Game"")",Novel,"=HYPERLINK(""https://www.stephenking.com/works/audiobook/geralds-game.html"", ""Gerald's Game(Audiobook)"")",✓,✓,,✓,✓,
,,1992-10-01,"=HYPERLINK(""https://www.stephenking.com/works/anthology/midnight-graffiti.html"", ""Midnight Graffiti"")",Anthology,,✓,,,,,
,,1993-10-01,"=HYPERLINK(""https://www.stephenking.com/works/collection/nightmares-dreamscapes.html"", ""Nightmares Dreamscapes"")",Story Collection,"=HYPERLINK(""https://www.stephenking.com/works/television/nightmares-dreamscapes.html"", ""Nightmares & Dreamscapes(Television)"")",✓,✓,,✓,✓,
,,1993-10-01,"=HYPERLINK(""https://www.stephenking.com/works/essay/head-down.html"", ""Head Down"")",Essay,"=HYPERLINK(""https://www.stephenking.com/works/audiobook/house-on-maple-street-and-other-stories.html"", ""The House on Maple Street and Other Stories(Audiobook)"")",,,,✓,,
,,1993-10-01,"=HYPERLINK(""https://www.stephenking.com/works/poem/brooklyn-august.html"", ""Brooklyn August"")",Poem,"=HYPERLINK(""https://www.stephenking.com/works/audiobook/house-on-maple-street-and-other-stories.html"", ""The House on Maple Street and Other Stories(Audiobook)"")",,,,✓,,
,,1993-10-01,"=HYPERLINK(""https://www.stephenking.com/works/screenplay/sorry-right-number.html"", ""Sorry, Right Number"")",Screenplay,"=HYPERLINK(""https://www.stephenking.com/works/audiobook/sorry-right-number-and-other-stories.html"", ""Sorry, Right Number and Other Stories(Audiobook)"")",,,,✓,,
,,1993-10-01,"=HYPERLINK(""https://www.stephenking.com/works/short/chattery-teeth.html"", ""Chattery Teeth"")",Short Story,"=HYPERLINK(""https://www.stephenking.com/works/audiobook/chattery-teeth-and-other-stories.html"", ""Chattery Teeth and Other Stories(Audiobook)"")",,,,✓,,
,,1993-10-01,"=HYPERLINK(""https://www.stephenking.com/works/short/crouch-end.html"", ""Crouch End"")",Short Story,"=HYPERLINK(""https://www.stephenking.com/works/audiobook/dolans-cadillac-and-other-stories.html"", ""Dolan's Cadillac and Other Stories(Audiobook)"")",,,,✓,,
,,1993-10-01,"=HYPERLINK(""https://www.stephenking.com/works/short/dedication.html"", ""Dedication"")",Short Story,"=HYPERLINK(""https://www.stephenking.com/works/audiobook/chattery-teeth-and-other-stories.html"", ""Chattery Teeth and Other Stories(Audiobook)"")",,,,✓,,
,,1993-10-01,"=HYPERLINK(""https://www.stephenking.com/works/short/doctors-case.html"", ""The Doctor's Case"")",Short Story,"=HYPERLINK(""https://www.stephenking.com/works/audiobook/end-of-the-whole-mess-and-other-stories.html"", ""The End of the Whole Mess and Other Stories(Audiobook)"")",,,,✓,,
,,1993-10-01,"=HYPERLINK(""https://www.stephenking.com/works/short/end-of-the-whole-mess.html"", ""The End of the Whole Mess"")",Short Story,"=HYPERLINK(""https://www.stephenking.com/works/audiobook/end-of-the-whole-mess-and-other-stories.html"", ""The End of the Whole Mess and Other Stories(Audiobook)"")",,,,✓,,
,,1993-10-01,"=HYPERLINK(""https://www.stephenking.com/works/short/fifth-quarter.html"", ""The Fifth Quarter"")",Short Story,"=HYPERLINK(""https://www.stephenking.com/works/audiobook/it-grows-on-you-and-other-stories.html"", ""It Grows on You and Other Stories(Audiobook)"")",,,,✓,,
,,1993-10-01,"=HYPERLINK(""https://www.stephenking.com/works/short/home-delivery.html"", ""Home Delivery"")",Short Story,"=HYPERLINK(""https://www.stephenking.com/works/audiobook/end-of-the-whole-mess-and-other-stories.html"", ""The End of the Whole Mess and Other Stories(Audiobook)"")",,,,✓,,
,,1993-10-01,"=HYPERLINK(""https://www.stephenking.com/works/short/house-on-maple-street.html"", ""The House on Maple Street"")",Short Story,"=HYPERLINK(""https://www.stephenking.com/works/audiobook/house-on-maple-street-and-other-stories.html"", ""The House on Maple Street and Other Stories(Audiobook)"")",,,,✓,,
,,1993-10-01,"=HYPERLINK(""https://www.stephenking.com/works/short/it-grows-on-you.html"", ""It Grows on You"")",Short Story,"=HYPERLINK(""https://www.stephenking.com/works/audiobook/it-grows-on-you-and-other-stories.html"", ""It Grows on You and Other Stories(Audiobook)"")",,,,✓,,
,,1993-10-01,"=HYPERLINK(""https://www.stephenking.com/works/short/moving-finger.html"", ""The Moving Finger"")",Short Story,"=HYPERLINK(""https://www.stephenking.com/works/audiobook/end-of-the-whole-mess-and-other-stories.html"", ""The End of the Whole Mess and Other Stories(Audiobook)"")",,,,✓,,
,,1993-10-01,"=HYPERLINK(""https://www.stephenking.com/works/short/night-flier.html"", ""The Night Flier"")",Short Story,"=HYPERLINK(""https://www.stephenking.com/works/audiobook/it-grows-on-you-and-other-stories.html"", ""It Grows on You and Other Stories(Audiobook)"")",,,,✓,✓,
,,1993-10-01,"=HYPERLINK(""https://www.stephenking.com/works/short/popsy.html"", ""Popsy"")",Short Story,"=HYPERLINK(""https://www.stephenking.com/works/audiobook/sorry-right-number-and-other-stories.html"", ""Sorry, Right Number and Other Stories(Audiobook)"")",,,,✓,,
,,1993-10-01,"=HYPERLINK(""https://www.stephenking.com/works/short/rainy-season.html"", ""Rainy Season"")",Short Story,"=HYPERLINK(""https://www.stephenking.com/works/audiobook/dolans-cadillac-and-other-stories.html"", ""Dolan's Cadillac and Other Stories(Audiobook)"")",,,,✓,,
,,1993-10-01,"=HYPERLINK(""https://www.stephenking.com/works/short/sneakers.html"", ""Sneakers"")",Short Story,"=HYPERLINK(""https://www.stephenking.com/works/audiobook/chattery-teeth-and-other-stories.html"", ""Chattery Teeth and Other Stories(Audiobook)"")",,,,✓,,
,,1993-10-01,"=HYPERLINK(""https://www.stephenking.com/works/short/suffer-the-little-children.html"", ""Suffer the Little Children"")",Short Story,"=HYPERLINK(""https://www.stephenking.com/works/audiobook/dolans-cadillac-and-other-stories.html"", ""Dolan's Cadillac and Other Stories(Audiobook)"")",,,,✓,✓,
,,1993-10-01,"=HYPERLINK(""https://www.stephenking.com/works/short/ten-o-clock-people.html"", ""The Ten O'Clock People"")",Short Story,"=HYPERLINK(""https://www.stephenking.com/works/audiobook/sorry-right-number-and-other-stories.html"", ""Sorry, Right Number and Other Stories(Audiobook)"")",,,,✓,,
,,1993-10-01,"=HYPERLINK(""https://www.stephenking.com/works/short/umneys-last-case.html"", ""Umney's Last Case"")",Short Story,"=HYPERLINK(""https://www.stephenking.com/works/audiobook/house-on-maple-street-and-other-stories.html"", ""The House on Maple Street and Other Stories(Audiobook)"")",,,,✓,,
,,1993-10-01,"=HYPERLINK(""https://www.stephenking.com/works/short/you-know-they-got-a-hell-of-a-band.html"", ""You Know They Got a Hell of a Band"")",Short Story,"=HYPERLINK(""https://www.stephenking.com/works/audiobook/it-grows-on-you-and-other-stories.html"", ""It Grows on You and Other Stories(Audiobook)"")",,,,✓,,
,,1993-11-01,"=HYPERLINK(""https://www.stephenking.com/works/novel/dolores-claiborne.html"", ""Dolores Claiborne"")",Novel,"=HYPERLINK(""https://www.stephenking.com/works/movie/dolores-claiborne.html"", ""Dolores Claiborne(Movie)"")",✓,✓,,✓,✓,
,,1993-12-01,"=HYPERLINK(""https://www.stephenking.com/works/nonfiction/mid-life-confidential-the-rock-bottom-remainders-tour-america-with-three-chords-and-an-attitude.html"", ""Mid-Life Confidential The Rock Bottom Remainders Tour America With Three Chords and an Attitude"")",Nonfiction,,✓,✓,,,,
,,1994-06-01,"=HYPERLINK(""https://www.stephenking.com/works/limited/insomnia.html"", ""Insomnia"")",Limited Edition,,✓,✓,,✓,✓,
,,1994-10-01,"=HYPERLINK(""https://www.stephenking.com/works/anthology/antaeus-no-75-76-the-final-issue.html"", ""Antaeus No. 7576 The Final Issue"")",Anthology,,,,✓,,,
,,1994-10-01,"=HYPERLINK(""https://www.stephenking.com/works/novella/blind-willie.html"", ""Blind Willie"")",Novella,"=HYPERLINK(""https://www.stephenking.com/works/audiobook/hearts-in-atlantis.html"", ""Hearts in Atlantis(Audiobook)"")",,,,✓,,
,,1994-12-01,"=HYPERLINK(""https://www.stephenking.com/works/anthology/years-best-fantasy-horror.html"", ""Year's Best Fantasy Horror"")",Anthology,,,✓,,,,
,,1994-12-01,"=HYPERLINK(""https://www.stephenking.com/works/limited/rose-madder.html"", ""Rose Madder"")",Limited Edition,,✓,✓,,✓,,
,,1995-12-01,"=HYPERLINK(""https://www.stephenking.com/works/limited/desperation-the-regulators-(box-set).html"", ""DesperationThe Regulators Box Set"")",Limited Edition,,✓,,,,,
,,1995-12-01,"=HYPERLINK(""https://www.stephenking.com/works/limited/desperation.html"", ""Desperation"")",Limited Edition,,✓,✓,,✓,,
,,1995-12-01,"=HYPERLINK(""https://www.stephenking.com/works/novel/regulators.html"", ""The Regulators"")",Bachman Novel,"=HYPERLINK(""https://www.stephenking.com/works/audiobook/regulators.html"", ""The Regulators(Audiobook)"")",✓,✓,,✓,✓,
,,1996-03-01,"=HYPERLINK(""https://www.stephenking.com/works/novel/green-mile-the-two-dead-girls.html"", ""The Green Mile The Two Dead Girls"")",Novel,,,✓,,,,
,,1996-04-01,"=HYPERLINK(""https://www.stephenking.com/works/novel/green-mile-the-mouse-on-the-mile.html"", ""The Green Mile The Mouse on the Mile"")",Novel,,,✓,,,,
,,1996-05-01,"=HYPERLINK(""https://www.stephenking.com/works/novel/green-mile-coffeys-hands.html"", ""The Green Mile Coffey's Hands"")",Novel,,,✓,,,,
,,1996-06-01,"=HYPERLINK(""https://www.stephenking.com/works/novel/green-mile-the-bad-death-of-eduard-delacroix.html"", ""The Green Mile The Bad Death of Eduard Delacroix"")",Novel,,,✓,,,,
,,1996-07-01,"=HYPERLINK(""https://www.stephenking.com/works/novel/green-mile-night-journey.html"", ""The Green Mile Night Journey"")",Novel,,,✓,,,,
,,1996-08-01,"=HYPERLINK(""https://www.stephenking.com/works/anthology/dark-love.html"", ""Dark Love"")",Anthology,,,✓,,,,
,,1996-08-01,"=HYPERLINK(""https://www.stephenking.com/works/novel/green-mile-coffey-on-the-mile.html"", ""The Green Mile Coffey on the Mile"")",Novel,,,✓,,,,
,,1996-12-01,"=HYPERLINK(""https://www.stephenking.com/works/anthology/dark-thoughts-on-writing.html"", ""Dark Thoughts on Writing"")",Anthology,,,✓,,,,
,,1996-12-01,"=HYPERLINK(""https://www.stephenking.com/works/limited/dark-tower-wizard-and-glass-(i).html"", ""The Dark Tower Wizard and Glass I"")",Limited Edition,,✓,,,,,
,,1996-12-01,"=HYPERLINK(""https://www.stephenking.com/works/limited/dark-tower-wizard-and-glass-(ii).html"", ""The Dark Tower Wizard and Glass II"")",Limited Edition,,✓,,,,,
,,1996-12-01,"=HYPERLINK(""https://www.stephenking.com/works/limited/six-stories.html"", ""Six Stories"")",Limited Edition,,,✓,,,,
,,1997-11-01,"=HYPERLINK(""https://www.stephenking.com/works/novel/dark-tower-wizard-and-glass.html"", ""The Dark Tower Wizard and Glass"")",Novel,"=HYPERLINK(""https://www.stephenking.com/works/audiobook/dark-tower-wizard-and-glass.html"", ""The Dark Tower: Wizard and Glass(Audiobook)"")",✓,✓,✓,✓,✓,
,,1997-12-01,"=HYPERLINK(""https://www.stephenking.com/works/anthology/legends.html"", ""Legends"")",Anthology,,✓,✓,,,,
,,1997-12-01,"=HYPERLINK(""https://www.stephenking.com/works/unpublished/chinga.html"", ""Chinga"")",Unpublished,,,,,,,
,,1998-09-01,"=HYPERLINK(""https://www.stephenking.com/works/interview/authorsaol-series.html"", ""Authorsaol series"")",Interview,,,,,,,
,,1998-09-22,"=HYPERLINK(""https://www.stephenking.com/works/novel/bag-of-bones.html"", ""Bag of Bones"")",Novel,"=HYPERLINK(""https://www.stephenking.com/works/audiobook/bag-of-bones.html"", ""Bag of Bones(Audiobook)"")",✓,✓,✓,✓,,
,,1999-02-01,"=HYPERLINK(""https://www.stephenking.com/works/screenplay/storm-of-the-century.html"", ""Storm of the Century"")",Screenplay,,,✓,,,,
,,1999-03-30,"=HYPERLINK(""https://www.stephenking.com/works/speech/an-evening-with-stephen-king.html"", ""An Evening with Stephen King"")",Speech,,,,,,,
,,1999-04-01,"=HYPERLINK(""https://www.stephenking.com/works/limited/new-lieutenants-rap.html"", ""The New Lieutenant's Rap"")",Limited Edition,,,✓,,,,
,,1999-04-01,"=HYPERLINK(""https://www.stephenking.com/works/novel/girl-who-loved-tom-gordon.html"", ""The Girl Who Loved Tom Gordon"")",Novel,"=HYPERLINK(""https://www.stephenking.com/works/audiobook/girl-who-loved-tom-gordon.html"", ""The Girl Who Loved Tom Gordon(Audiobook)"")",✓,✓,✓,✓,✓,
,,1999-05-26,"=HYPERLINK(""https://www.stephenking.com/works/speech/vermont-library-conference-vema-annual-meeting-the-bogeyboys.html"", ""Vermont Library ConferenceVEMA Annual Meeting The Bogeyboys"")",Speech,,,✓,,,✓,
,,1999-09-01,"=HYPERLINK(""https://www.stephenking.com/works/collection/hearts-in-atlantis.html"", ""Hearts in Atlantis"")",Story Collection,"=HYPERLINK(""https://www.stephenking.com/works/audiobook/hearts-in-atlantis.html"", ""Hearts in Atlantis(Audiobook)"")",✓,✓,✓,✓,✓,
,,1999-09-14,"=HYPERLINK(""https://www.stephenking.com/works/novella/heavenly-shades-of-night-are-falling.html"", ""Heavenly Shades of Night Are Falling"")",Novella,"=HYPERLINK(""https://www.stephenking.com/works/audiobook/hearts-in-atlantis.html"", ""Hearts in Atlantis(Audiobook)"")",,,,✓,✓,
,,1999-09-14,"=HYPERLINK(""https://www.stephenking.com/works/novella/low-men-in-yellow-coats.html"", ""Low Men in Yellow Coats"")",Novella,"=HYPERLINK(""https://www.stephenking.com/works/movie/hearts-in-atlantis.html"", ""Hearts in Atlantis(Movie)"")",,,,✓,✓,
,,1999-09-14,"=HYPERLINK(""https://www.stephenking.com/works/novella/why-we-re-in-vietnam.html"", ""Why We're in Vietnam"")",Novella,"=HYPERLINK(""https://www.stephenking.com/works/audiobook/hearts-in-atlantis.html"", ""Hearts in Atlantis(Audiobook)"")",,,,✓,,
,,1999-12-01,"=HYPERLINK(""https://www.stephenking.com/works/anthology/shadows-4.html"", ""Shadows 4"")",Anthology,,,✓,,,,
,,1999-12-01,"=HYPERLINK(""https://www.stephenking.com/works/essay/a-new-introduction-to-john-fowless-the-collector.html"", ""A New Introduction to John Fowles's The Collector"")",Essay,,,,,,,
,,1999-12-01,"=HYPERLINK(""https://www.stephenking.com/works/essay/ever-et-raw-meat-and-other-weird-questions.html"", ""Ever Et Raw Meat and Other Weird Questions"")",Essay,,,,,,,
,,1999-12-01,"=HYPERLINK(""https://www.stephenking.com/works/essay/foreword-to-night-shift.html"", ""Foreword to Night Shift"")",Essay,,,,,,,
,,1999-12-01,"=HYPERLINK(""https://www.stephenking.com/works/essay/great-hookers-i-have-known.html"", ""Great Hookers I Have Known"")",Essay,,,,,,,
,,1999-12-01,"=HYPERLINK(""https://www.stephenking.com/works/essay/horror-fiction-from-danse-macabre.html"", ""Horror Fiction from Danse Macabre"")",Essay,,,,,,,
,,1999-12-01,"=HYPERLINK(""https://www.stephenking.com/works/essay/horror-market-writer-and-the-ten-bears-a-true-story.html"", ""The Horror Market Writer and the Ten Bears A True Story"")",Essay,,,,,,,
,,1999-12-01,"=HYPERLINK(""https://www.stephenking.com/works/essay/how-it-happened.html"", ""How IT Happened"")",Essay,,,,,,,
,,1999-12-01,"=HYPERLINK(""https://www.stephenking.com/works/essay/introduction-to-jack-ketchums-the-girl-next-door.html"", ""Introduction to Jack Ketchum's The Girl Next Door"")",Essay,,,,,,,
,,1999-12-01,"=HYPERLINK(""https://www.stephenking.com/works/essay/turning-the-thumbscrews-on-the-reader.html"", ""Turning the Thumbscrews on the Reader"")",Essay,,,,,,,
,,1999-12-01,"=HYPERLINK(""https://www.stephenking.com/works/essay/two-past-midnight-a-note-on-secret-window-secret-garden.html"", ""Two Past Midnight A Note on Secret Window, Secret Garden"")",Essay,,,,,,,
,,1999-12-01,"=HYPERLINK(""https://www.stephenking.com/works/essay/what-stephen-king-does-for-love.html"", ""What Stephen King Does for Love"")",Essay,,,,,,,
,,1999-12-01,"=HYPERLINK(""https://www.stephenking.com/works/interview/a-night-at-the-royal-festival-hall-muriel-gray-interviews-stephen-king.html"", ""A Night at the Royal Festival Hall Muriel Gray Interviews Stephen King"")",Interview,,,,,,,
,,1999-12-01,"=HYPERLINK(""https://www.stephenking.com/works/nonfiction/on-writing-a-memoir-of-the-craft.html"", ""On Writing A Memoir of the Craft"")",Nonfiction,"=HYPERLINK(""https://www.stephenking.com/works/audiobook/on-writing.html"", ""On Writing(Audiobook)"")",✓,✓,✓,✓,,
,,1999-12-01,"=HYPERLINK(""https://www.stephenking.com/works/nonfiction/secret-windows-essays-and-fiction-on-the-craft-of-writing.html"", ""Secret Windows Essays and Fiction on the Craft of Writing"")",Nonfiction,,✓,,,,,
,,1999-12-01,"=HYPERLINK(""https://www.stephenking.com/works/short/rush-call.html"", ""Rush Call"")",Short Story,,,,,,,
,,2000-10-01,"=HYPERLINK(""https://www.stephenking.com/works/novel/green-mile-the-complete-serial-novel.html"", ""The Green Mile The Complete Serial Novel"")",Novel,"=HYPERLINK(""https://www.stephenking.com/works/movie/green-mile.html"", ""The Green Mile(Movie)"")",✓,✓,,✓,✓,
,,2001-02-20,"=HYPERLINK(""https://www.stephenking.com/works/novel/dreamcatcher.html"", ""Dreamcatcher"")",Novel,"=HYPERLINK(""https://www.stephenking.com/works/movie/dreamcatcher.html"", ""Dreamcatcher(Movie)"")",✓,✓,✓,✓,✓,
,,2001-09-15,"=HYPERLINK(""https://www.stephenking.com/works/novel/black-house.html"", ""Black House"")",Novel,"=HYPERLINK(""https://www.stephenking.com/works/audiobook/black-house.html"", ""Black House(Audiobook)"")",✓,✓,✓,✓,✓,
,,2001-12-01,"=HYPERLINK(""https://www.stephenking.com/works/interview/stephen-king-qa.html"", ""Stephen King QA"")",Interview,,,,,✓,,
,,2001-12-01,"=HYPERLINK(""https://www.stephenking.com/works/limited/from-a-buick-8.html"", ""From a Buick 8"")",Limited Edition,,✓,,,,,
,,2002-03-01,"=HYPERLINK(""https://www.stephenking.com/works/short/1408.html"", ""1408"")",Short Story,"=HYPERLINK(""https://www.stephenking.com/works/movie/1408.html"", ""1408(Movie)"")",,,,✓,✓,
,,2002-03-01,"=HYPERLINK(""https://www.stephenking.com/works/short/all-that-you-love-will-be-carried-away.html"", ""All That You Love Will Be Carried Away"")",Short Story,"=HYPERLINK(""https://www.stephenking.com/works/audiobook/man-in-the-black-suit-four-dark-tales.html"", ""The Man in the Black Suit: Four Dark Tales(Audiobook)"")",,,,✓,,
,,2002-03-01,"=HYPERLINK(""https://www.stephenking.com/works/short/autopsy-room-four.html"", ""Autopsy Room Four"")",Short Story,"=HYPERLINK(""https://www.stephenking.com/works/audiobook/everythings-eventual-5-dark-tales.html"", ""Everything's Eventual: 5 Dark Tales(Audiobook)"")",,,,✓,,
,,2002-03-01,"=HYPERLINK(""https://www.stephenking.com/works/short/death-of-jack-hamilton.html"", ""The Death of Jack Hamilton"")",Short Story,"=HYPERLINK(""https://www.stephenking.com/works/audiobook/man-in-the-black-suit-four-dark-tales.html"", ""The Man in the Black Suit: Four Dark Tales(Audiobook)"")",,,,✓,,
,,2002-03-01,"=HYPERLINK(""https://www.stephenking.com/works/short/everythings-eventual.html"", ""Everything's Eventual"")",Short Story,"=HYPERLINK(""https://www.stephenking.com/works/audiobook/everythings-eventual-5-dark-tales.html"", ""Everything's Eventual: 5 Dark Tales(Audiobook)"")",✓,✓,✓,✓,✓,
,,2002-03-01,"=HYPERLINK(""https://www.stephenking.com/works/short/in-the-deathroom.html"", ""In the Deathroom"")",Short Story,"=HYPERLINK(""https://www.stephenking.com/works/audiobook/blood-smoke.html"", ""Blood & Smoke(Audiobook)"")",,,,✓,,
,,2002-03-01,"=HYPERLINK(""https://www.stephenking.com/works/short/little-sisters-of-eluria.html"", ""The Little Sisters of Eluria"")",Short Story,"=HYPERLINK(""https://www.stephenking.com/works/audiobook/everythings-eventual-5-dark-tales.html"", ""Everything's Eventual: 5 Dark Tales(Audiobook)"")",✓,,,✓,,
,,2002-03-01,"=HYPERLINK(""https://www.stephenking.com/works/short/lts-theory-of-pets.html"", ""L.T.'s Theory of Pets"")",Short Story,"=HYPERLINK(""https://www.stephenking.com/works/audiobook/lts-theory-of-pets.html"", ""LT's Theory of Pets(Audiobook)"")",,,,✓,,
,,2002-03-01,"=HYPERLINK(""https://www.stephenking.com/works/short/luckey-quarter.html"", ""Luckey Quarter"")",Short Story,"=HYPERLINK(""https://www.stephenking.com/works/audiobook/everythings-eventual-5-dark-tales.html"", ""Everything's Eventual: 5 Dark Tales(Audiobook)"")",,,,✓,,
,,2002-03-01,"=HYPERLINK(""https://www.stephenking.com/works/short/lunch-at-the-gotham-cafe.html"", ""Lunch at the Gotham Cafe"")",Short Story,"=HYPERLINK(""https://www.stephenking.com/works/audiobook/blood-smoke.html"", ""Blood & Smoke(Audiobook)"")",,,,✓,,
,,2002-03-01,"=HYPERLINK(""https://www.stephenking.com/works/short/man-in-the-black-suit.html"", ""The Man in the Black Suit"")",Short Story,"=HYPERLINK(""https://www.stephenking.com/works/audiobook/man-in-the-black-suit-four-dark-tales.html"", ""The Man in the Black Suit: Four Dark Tales(Audiobook)"")",,,,✓,,
,,2002-03-01,"=HYPERLINK(""https://www.stephenking.com/works/short/riding-the-bullet.html"", ""Riding the Bullet"")",Short Story,"=HYPERLINK(""https://www.stephenking.com/works/movie/riding-the-bullet.html"", ""Riding the Bullet(Movie)"")",,,✓,✓,✓,
,,2002-03-01,"=HYPERLINK(""https://www.stephenking.com/works/short/road-virus-heads-north.html"", ""The Road Virus Heads North"")",Short Story,"=HYPERLINK(""https://www.stephenking.com/works/audiobook/everythings-eventual-5-dark-tales.html"", ""Everything's Eventual: 5 Dark Tales(Audiobook)"")",,,,✓,,
,,2002-03-01,"=HYPERLINK(""https://www.stephenking.com/works/short/that-feeling-you-can-only-say-what-it-is-in-french.html"", ""That Feeling, You Can Only Say What It Is in French"")",Short Story,"=HYPERLINK(""https://www.stephenking.com/works/audiobook/man-in-the-black-suit-four-dark-tales.html"", ""The Man in the Black Suit: Four Dark Tales(Audiobook)"")",,,,✓,,
,,2002-09-24,"=HYPERLINK(""https://www.stephenking.com/works/novel/from-a-buick-8.html"", ""From A Buick 8"")",Novel,"=HYPERLINK(""https://www.stephenking.com/works/audiobook/from-a-buick-8.html"", ""From A Buick 8(Audiobook)"")",✓,✓,✓,✓,✓,
,,2002-12-01,"=HYPERLINK(""https://www.stephenking.com/works/anthology/borderlands-5.html"", ""Borderlands 5"")",Anthology,"=HYPERLINK(""https://www.stephenking.com/works/audiobook/stationary-bike.html"", ""Stationary Bike(Audiobook)"")",✓,,,✓,,
,,2002-12-01,"=HYPERLINK(""https://www.stephenking.com/works/anthology/from-the-borderlands.html"", ""From the Borderlands"")",Anthology,,,✓,,,,
,,2002-12-01,"=HYPERLINK(""https://www.stephenking.com/works/limited/dark-tower-wolves-of-the-calla.html"", ""The Dark Tower Wolves of the Calla"")",Limited Edition,,✓,✓,✓,✓,✓,
,,2003-03-01,"=HYPERLINK(""https://www.stephenking.com/works/anthology/mcsweeneys-mammoth-treasury-of-thrilling-tales.html"", ""McSweeney's Mammoth Treasury of Thrilling Tales"")",Anthology,,,✓,,,,
,,2003-03-01,"=HYPERLINK(""https://www.stephenking.com/works/short/tale-of-gray-dick.html"", ""The Tale of Gray Dick"")",Short Story,,,,,,,
,,2003-06-01,"=HYPERLINK(""https://www.stephenking.com/works/novel/dark-tower-the-gunslinger-(revised).html"", ""The Dark Tower The Gunslinger Revised"")",Novel,"=HYPERLINK(""https://www.stephenking.com/works/audiobook/dark-tower-the-gunslinger.html"", ""The Dark Tower: The Gunslinger(Audiobook)"")",✓,✓,✓,✓,✓,
,,2003-12-01,"=HYPERLINK(""https://www.stephenking.com/works/interview/a-conversation-with-stephen-king.html"", ""A Conversation with Stephen King"")",Interview,,,,,,✓,
,,2003-12-01,"=HYPERLINK(""https://www.stephenking.com/works/limited/dark-tower-song-of-susannah.html"", ""The Dark Tower Song of Susannah"")",Limited Edition,,✓,✓,✓,✓,✓,
,,2003-12-01,"=HYPERLINK(""https://www.stephenking.com/works/limited/dark-tower.html"", ""The Dark Tower"")",Limited Edition,,✓,✓,✓,✓,✓,
,,2004-04-01,"=HYPERLINK(""https://www.stephenking.com/works/anthology/devils-wine.html"", ""The Devil's Wine"")",Anthology,,✓,,,,,
,,2004-04-01,"=HYPERLINK(""https://www.stephenking.com/works/poem/dark-man.html"", ""The Dark Man"")",Poem,,✓,,,,,
,,2004-04-01,"=HYPERLINK(""https://www.stephenking.com/works/poem/donovans-brain.html"", ""Donovan's Brain"")",Poem,,,,,,,
,,2004-04-01,"=HYPERLINK(""https://www.stephenking.com/works/poem/hardcase-speaks.html"", ""The Hardcase Speaks"")",Poem,,,,,,,
,,2004-04-01,"=HYPERLINK(""https://www.stephenking.com/works/poem/harrison-state-park-68.html"", ""Harrison State Park '68"")",Poem,,,,,,,
,,2004-04-01,"=HYPERLINK(""https://www.stephenking.com/works/poem/in-the-key-chords-of-dawn.html"", ""In the Key-Chords of Dawn"")",Poem,,,,,,,
,,2004-04-01,"=HYPERLINK(""https://www.stephenking.com/works/poem/silence.html"", ""Silence"")",Poem,,,,,,,
,,2004-12-01,"=HYPERLINK(""https://www.stephenking.com/works/anthology/contemporary-maine-fiction.html"", ""Contemporary Maine Fiction"")",Anthology,,✓,,,,,
,,2004-12-01,"=HYPERLINK(""https://www.stephenking.com/works/anthology/garden-of-reading.html"", ""The Garden of Reading"")",Anthology,,✓,,,,,
,,2004-12-01,"=HYPERLINK(""https://www.stephenking.com/works/anthology/thrilling-chilling-tales-of-alien-encounters.html"", ""Thrilling, Chilling Tales of Alien Encounters"")",Anthology,,,✓,,,,
,,2004-12-01,"=HYPERLINK(""https://www.stephenking.com/works/anthology/transgressions.html"", ""Transgressions"")",Anthology,,✓,✓,,,,
,,2005-09-01,"=HYPERLINK(""https://www.stephenking.com/works/nonfiction/faithful.html"", ""Faithful"")",Nonfiction,"=HYPERLINK(""https://www.stephenking.com/works/audiobook/faithful.html"", ""Faithful(Audiobook)"")",✓,✓,,✓,,
,,2005-10-01,"=HYPERLINK(""https://www.stephenking.com/works/interview/king-pen.html"", ""King Pen"")",Interview,,,,,,,
,,2005-10-01,"=HYPERLINK(""https://www.stephenking.com/works/novel/colorado-kid.html"", ""The Colorado Kid"")",Novel,"=HYPERLINK(""https://www.stephenking.com/works/audiobook/colorado-kid.html"", ""The Colorado Kid(Audiobook)"")",,✓,✓,✓,,
,,2005-11-11,"=HYPERLINK(""https://www.stephenking.com/works/novel/salems-lot-illustrated-edition.html"", ""'Salem's Lot Illustrated Edition"")",Novel,,✓,,,,,
,,2005-12-01,"=HYPERLINK(""https://www.stephenking.com/works/interview/art-of-fiction-no-189.html"", ""The Art of Fiction No. 189"")",Interview,,,,,,,
,,2005-12-01,"=HYPERLINK(""https://www.stephenking.com/works/limited/secretary-of-dreams-vol-1.html"", ""The Secretary of Dreams, Vol. 1"")",Limited Edition,,✓,,,,,
