Title,Published,Type,Available In,Hardcover,Paperback,Ebook,Audiobook,Movie,Miniseries
"=HYPERLINK(""https://www.stephenking.com/works/speech/banned-books-and-other-concerns-the-virginia-beach-lecture.html"", ""Banned Books and Other Concerns: The Virginia Beach Lecture"")",1986-09-22,Speech,"=HYPERLINK(""https://www.stephenking.com/works/nonfiction/secret-windows-essays-and-fiction-on-the-craft-of-writing.html"", ""Secret Windows: Essays and Fiction on the Craft of Writing"")",,,,,,
"=HYPERLINK(""https://www.stephenking.com/works/anthology/demons.html"", ""Demons"")",1986-12-01,Anthology,,,Yes,,,,
"=HYPERLINK(""https://www.stephenking.com/works/limited/dark-tower-the-drawing-of-the-three.html"", ""The Dark Tower: The Drawing of the Three"")",1986-12-01,Limited Edition,,Yes,Yes,Yes,Yes,,
"=HYPERLINK(""https://www.stephenking.com/works/anthology/masques-ii.html"", ""Masques II"")",1987-06-01,Anthology,,Yes,,,,,
"=HYPERLINK(""https://www.stephenking.com/works/novel/misery.html"", ""Misery"")",1987-06-01,Novel,,Yes,Yes,,,Yes,
"=HYPERLINK(""https://www.stephenking.com/works/anthology/dark-descent.html"", ""Dark Descent"")",1987-10-01,Anthology,,Yes,,,,,
"=HYPERLINK(""https://www.stephenking.com/works/novel/tommyknockers.html"", ""The Tommyknockers"")",1987-11-01,Novel,,Yes,Yes,,,Yes,Yes
"=HYPERLINK(""https://www.stephenking.com/works/anthology/night-visions-5.html"", ""Night Visions 5"")",1987-12-01,Anthology,,Yes,,,,,
"=HYPERLINK(""https://www.stephenking.com/works/limited/my-pretty-pony.html"", ""My Pretty Pony"")",1987-12-01,Limited Edition,,Yes,,,,,
"=HYPERLINK(""https://www.stephenking.com/works/nonfiction/nightmares-in-the-sky.html"", ""Nightmares in the Sky"")",1987-12-01,Nonfiction,,Yes,,,,,
"=HYPERLINK(""https://www.stephenking.com/works/short/reploids.html"", ""The Reploids"")",1987-12-01,Short Story,"=HYPERLINK(""https://www.stephenking.com/works/anthology/night-visions-5.html"", ""Night Visions 5"")",,,,,,
"=HYPERLINK(""https://www.stephenking.com/works/anthology/prime-evil.html"", ""Prime Evil"")",1988-06-01,Anthology,,Yes,,,,,
"=HYPERLINK(""https://www.stephenking.com/works/limited/letters-from-hell.html"", ""Letters from Hell"")",1988-09-01,Limited Edition,,,,,,,
"=HYPERLINK(""https://www.stephenking.com/works/anthology/book-of-the-dead.html"", ""The Book of the Dead"")",1988-12-01,Anthology,,Yes,,,,,
"=HYPERLINK(""https://www.stephenking.com/works/limited/dolans-cadillac.html"", ""Dolan's Cadillac"")",1988-12-01,Limited Edition,,Yes,,,,,
"=HYPERLINK(""https://www.stephenking.com/works/novel/dark-half.html"", ""The Dark Half"")",1989-11-01,Novel,,Yes,Yes,,,Yes,
"=HYPERLINK(""https://www.stephenking.com/works/anthology/complete-masters-of-darkness.html"", ""The Complete Masters of Darkness"")",1989-12-01,Anthology,,,,,,,
"=HYPERLINK(""https://www.stephenking.com/works/interview/faces-of-fear.html"", ""Faces of Fear"")",1989-12-01,Interview,,,,,,,
"=HYPERLINK(""https://www.stephenking.com/works/limited/stand-the-complete-and-uncut-edition.html"", ""The Stand: The Complete and Uncut Edition"")",1989-12-01,Limited Edition,,Yes,,,,,
"=HYPERLINK(""https://www.stephenking.com/works/novel/stand-the-complete-uncut-edition.html"", ""The Stand: The Complete & Uncut Edition"")",1990-05-01,Novel,,Yes,Yes,,,Yes,Yes
"=HYPERLINK(""https://www.stephenking.com/works/collection/four-past-midnight.html"", ""Four Past Midnight"")",1990-09-01,Story Collection,,Yes,Yes,,,,
"=HYPERLINK(""https://www.stephenking.com/works/novella/langoliers.html"", ""The Langoliers"")",1990-09-01,Novella,"=HYPERLINK(""https://www.stephenking.com/works/collection/four-past-midnight.html"", ""Four Past Midnight"")",,,,,,
"=HYPERLINK(""https://www.stephenking.com/works/novella/library-policeman.html"", ""The Library Policeman"")",1990-09-01,Novella,"=HYPERLINK(""https://www.stephenking.com/works/collection/four-past-midnight.html"", ""Four Past Midnight"")",,,,,,
"=HYPERLINK(""https://www.stephenking.com/works/novella/secret-window-secret-garden.html"", ""Secret Window, Secret Garden"")",1990-09-01,Novella,"=HYPERLINK(""https://www.stephenking.com/works/collection/four-past-midnight.html"", ""Four Past Midnight"")",,,,,,
"=HYPERLINK(""https://www.stephenking.com/works/novella/sun-dog.html"", ""The Sun Dog"")",1990-09-01,Novella,"=HYPERLINK(""https://www.stephenking.com/works/collection/four-past-midnight.html"", ""Four Past Midnight"")",,,,,,
"=HYPERLINK(""https://www.stephenking.com/works/anthology/best-american-sports-writing-1991.html"", ""Best American Sports Writing, 1991"")",1990-12-01,Anthology,,,Yes,,,,
"=HYPERLINK(""https://www.stephenking.com/works/anthology/color-of-evil-(dark-descent).html"", ""The Color of Evil"")",1990-12-01,Anthology,,,,,,,
"=HYPERLINK(""https://www.stephenking.com/works/anthology/i-shudder-at-your-touch.html"", ""I Shudder At Your Touch"")",1990-12-01,Anthology,,Yes,Yes,,,,
"=HYPERLINK(""https://www.stephenking.com/works/anthology/shock-rock.html"", ""Shock Rock"")",1990-12-01,Anthology,,,Yes,,,,
"=HYPERLINK(""https://www.stephenking.com/works/limited/dark-tower-the-waste-lands.html"", ""The Dark Tower: The Waste Lands"")",1990-12-01,Limited Edition,,Yes,Yes,Yes,Yes,,
"=HYPERLINK(""https://www.stephenking.com/works/short/revelations-of-becka-paulson.html"", ""The Revelations of 'Becka Paulson"")",1990-12-01,Short Story,"=HYPERLINK(""https://www.stephenking.com/works/anthology/i-shudder-at-your-touch.html"", ""I Shudder At Your Touch"")",,,,,,
"=HYPERLINK(""https://www.stephenking.com/works/novel/needful-things.html"", ""Needful Things"")",1991-10-01,Novel,,Yes,Yes,,Yes,Yes,
